"velocidad" "parque"
"295" 11.17 "Parque1"
"296" 11.24 "Parque1"
"297" 11.98 "Parque1"
"298" 10.38 "Parque1"
"299" 10.06 "Parque1"
"300" 11.39 "Parque1"
"301" 9.84 "Parque1"
"302" 8.19 "Parque1"
"303" 8.68 "Parque1"
"304" 9.36 "Parque1"
"305" 10.51 "Parque1"
"306" 6.84 "Parque1"
"307" 3.03 "Parque1"
"308" 6.11 "Parque1"
"309" 6.63 "Parque1"
"310" 3.25 "Parque1"
"311" 3.94 "Parque1"
"312" 6.47 "Parque1"
"313" 4.85 "Parque1"
"314" 3.52 "Parque1"
"315" 5.34 "Parque1"
"316" 7.62 "Parque1"
"317" 8.02 "Parque1"
"318" 9.08 "Parque1"
"319" 9.26 "Parque1"
"320" 9.63 "Parque1"
"321" 8.56 "Parque1"
"322" 8.52 "Parque1"
"323" 7.28 "Parque1"
"324" 7 "Parque1"
"325" 10.45 "Parque1"
"326" 10.43 "Parque1"
"327" 10.37 "Parque1"
"328" 9.75 "Parque1"
"329" 8.86 "Parque1"
"330" 9.34 "Parque1"
"331" 9.1 "Parque1"
"332" 6.66 "Parque1"
"333" 7.09 "Parque1"
"334" 6.36 "Parque1"
"335" 4.91 "Parque1"
"336" 1.94 "Parque1"
"337" 1.44 "Parque1"
"338" 1.26 "Parque1"
"339" 3.06 "Parque1"
"340" 4.36 "Parque1"
"341" 2.47 "Parque1"
"342" 3.64 "Parque1"
"343" 5.17 "Parque1"
"344" 5.52 "Parque1"
"345" 4.89 "Parque1"
"346" 6.58 "Parque1"
"347" 6.39 "Parque1"
"348" 7.75 "Parque1"
"349" 9.35 "Parque1"
"350" 8.76 "Parque1"
"351" 9.55 "Parque1"
"352" 8.24 "Parque1"
"353" 10.58 "Parque1"
"354" 11.18 "Parque1"
"355" 10.75 "Parque1"
"356" 7.77 "Parque1"
"357" 6.25 "Parque1"
"358" 5.24 "Parque1"
"359" 6.39 "Parque1"
"360" 8.49 "Parque1"
"361" 6.77 "Parque1"
"362" 4.82 "Parque1"
"363" 6.19 "Parque1"
"364" 7.42 "Parque1"
"365" 8.92 "Parque1"
"366" 9.81 "Parque1"
"367" 9.44 "Parque1"
"368" 10.41 "Parque1"
"369" 9.82 "Parque1"
"370" 8.61 "Parque1"
"371" 9.13 "Parque1"
"372" 7.32 "Parque1"
"373" 7.09 "Parque1"
"374" 6.56 "Parque1"
"375" 4.98 "Parque1"
"376" 4.15 "Parque1"
"377" 5.18 "Parque1"
"378" 6.76 "Parque1"
"379" 6.29 "Parque1"
"380" 5.61 "Parque1"
"381" 6.3 "Parque1"
"382" 3.48 "Parque1"
"383" 4.26 "Parque1"
"384" 3.16 "Parque1"
"385" 6.28 "Parque1"
"386" 6.69 "Parque1"
"387" 7.76 "Parque1"
"388" 7.65 "Parque1"
"389" 7.94 "Parque1"
"390" 8.55 "Parque1"
"391" 7.96 "Parque1"
"392" 8.22 "Parque1"
"393" 7.05 "Parque1"
"394" 4.4 "Parque1"
"395" 2.63 "Parque1"
"396" 3.47 "Parque1"
"397" 3.47 "Parque1"
"398" 4.16 "Parque1"
"399" 4.92 "Parque1"
"400" 5.15 "Parque1"
"401" 6.23 "Parque1"
"402" 4.76 "Parque1"
"403" 5.52 "Parque1"
"404" 6.63 "Parque1"
"405" 3.91 "Parque1"
"406" 1.52 "Parque1"
"407" 0.49 "Parque1"
"408" 0.8 "Parque1"
"409" 0.72 "Parque1"
"410" 0.27 "Parque1"
"411" 0.31 "Parque1"
"412" 1.56 "Parque1"
"413" 2.02 "Parque1"
"414" 2.82 "Parque1"
"415" 3.12 "Parque1"
"416" 2.56 "Parque1"
"417" 2.82 "Parque1"
"418" 2.16 "Parque1"
"419" 2.58 "Parque1"
"420" 3.49 "Parque1"
"421" 3.63 "Parque1"
"422" 3.46 "Parque1"
"423" 3.12 "Parque1"
"424" 3.25 "Parque1"
"425" 2.79 "Parque1"
"426" 4.43 "Parque1"
"427" 4.96 "Parque1"
"428" 5.34 "Parque1"
"429" 6.35 "Parque1"
"430" 4.94 "Parque1"
"431" 4.62 "Parque1"
"432" 3.71 "Parque1"
"433" 5.6 "Parque1"
"434" 5.98 "Parque1"
"435" 6.93 "Parque1"
"436" 5.9 "Parque1"
"437" 6.42 "Parque1"
"438" 7.08 "Parque1"
"439" 6.15 "Parque1"
"440" 5.27 "Parque1"
"441" 5.26 "Parque1"
"442" 3.6 "Parque1"
"443" 4.14 "Parque1"
"444" 6.02 "Parque1"
"445" 5.38 "Parque1"
"446" 4.52 "Parque1"
"447" 4.39 "Parque1"
"448" 2.7 "Parque1"
"449" 4.43 "Parque1"
"450" 1.26 "Parque1"
"451" 3.19 "Parque1"
"452" 1.38 "Parque1"
"453" 1.29 "Parque1"
"454" 0.8 "Parque1"
"455" 1.18 "Parque1"
"456" 1.42 "Parque1"
"457" 0.99 "Parque1"
"458" 1.03 "Parque1"
"459" 3.16 "Parque1"
"460" 2.15 "Parque1"
"461" 4.09 "Parque1"
"462" 5.85 "Parque1"
"463" 5.36 "Parque1"
"464" 4.56 "Parque1"
"465" 5.85 "Parque1"
"466" 5.31 "Parque1"
"467" 3.9 "Parque1"
"468" 4.1 "Parque1"
"469" 5.98 "Parque1"
"470" 7.16 "Parque1"
"471" 7.66 "Parque1"
"472" 8.82 "Parque1"
"473" 10.28 "Parque1"
"474" 10.65 "Parque1"
"475" 9.6 "Parque1"
"476" 9.54 "Parque1"
"477" 11.11 "Parque1"
"478" 9.55 "Parque1"
"479" 9.01 "Parque1"
"480" 9.37 "Parque1"
"481" 9.98 "Parque1"
"482" 9.78 "Parque1"
"483" 9.04 "Parque1"
"484" 9.4 "Parque1"
"485" 9.78 "Parque1"
"486" 9.36 "Parque1"
"487" 9.86 "Parque1"
"488" 10.08 "Parque1"
"489" 10.25 "Parque1"
"490" 7.7 "Parque1"
"491" 4.85 "Parque1"
"492" 4.84 "Parque1"
"493" 6.09 "Parque1"
"494" 5.65 "Parque1"
"495" 4.65 "Parque1"
"496" 4.06 "Parque1"
"497" 2.48 "Parque1"
"498" 2.44 "Parque1"
"499" 3.01 "Parque1"
"500" 2.61 "Parque1"
"501" 4.4 "Parque1"
"502" 3 "Parque1"
"503" 5 "Parque1"
"504" 5.87 "Parque1"
"505" 6.04 "Parque1"
"506" 9.07 "Parque1"
"507" 10.55 "Parque1"
"508" 10.97 "Parque1"
"509" 11.91 "Parque1"
"510" 11.28 "Parque1"
"511" 13.39 "Parque1"
"512" 13.27 "Parque1"
"513" 11.6 "Parque1"
"514" 8.83 "Parque1"
"515" 7.27 "Parque1"
"516" 8.51 "Parque1"
"517" 6.34 "Parque1"
"518" 6.3 "Parque1"
"519" 5.82 "Parque1"
"520" 7.36 "Parque1"
"521" 6.54 "Parque1"
"522" 6.9 "Parque1"
"523" 8.21 "Parque1"
"524" 8.15 "Parque1"
"525" 9.57 "Parque1"
"526" 6.9 "Parque1"
"527" 5.72 "Parque1"
"528" 7.47 "Parque1"
"529" 7.48 "Parque1"
"530" 6.85 "Parque1"
"531" 6.31 "Parque1"
"532" 7.5 "Parque1"
"533" 6.84 "Parque1"
"534" 5.78 "Parque1"
"535" 5.66 "Parque1"
"536" 4.94 "Parque1"
"537" 2.33 "Parque1"
"538" 1.94 "Parque1"
"539" 2 "Parque1"
"540" 1.51 "Parque1"
"541" 1.54 "Parque1"
"542" 1.01 "Parque1"
"543" 1.22 "Parque1"
"544" 1.91 "Parque1"
"545" 2.82 "Parque1"
"546" 3.33 "Parque1"
"547" 5.63 "Parque1"
"548" 4.77 "Parque1"
"549" 6.79 "Parque1"
"550" 7.41 "Parque1"
"551" 13.23 "Parque1"
"552" 12.23 "Parque1"
"553" 12.55 "Parque1"
"554" 11.65 "Parque1"
"555" 13.15 "Parque1"
"556" 14.99 "Parque1"
"557" 16.2 "Parque1"
"558" 16.28 "Parque1"
"559" 14.66 "Parque1"
"560" 13.67 "Parque1"
"561" 14.72 "Parque1"
"562" 14.61 "Parque1"
